Serie;rodet;Serie;Diametre Rodet;Bandes;V (rpm);n;Potencia;Fluid
A1.1;A;Helix;0.06;0;100;1,666666667;12;Aigua
A1.1;A;Helix;0.06;0;200;3,333333333;16;Aigua
A1.1;A;Helix;0.06;0;300;5;18;Aigua
A1.1;A;Helix;0.06;0;400;6,666666667;24;Aigua
A1.1;A;Helix;0.06;0;500;8,333333333;32;Aigua
A1.1;A;Helix;0.06;0;600;10;38;Aigua
A1.2;A;Helix;0.06;0;100;1,666666667;8;Aigua
A1.2;A;Helix;0.06;0;200;3,333333333;10;Aigua
A1.2;A;Helix;0.06;0;300;5;12;Aigua
A1.2;A;Helix;0.06;0;400;6,666666667;14;Aigua
A1.2;A;Helix;0.06;0;500;8,333333333;16;Aigua
A1.2;A;Helix;0.06;0;600;10;18;Aigua
A1.2;A;Helix;0.06;0;700;11,66666667;20;Aigua
A1.2;A;Helix;0.06;0;1150;19,16666667;30;Aigua
A1.2;A;Helix;0.06;0;1250;20,83333333;36;Aigua
A1.2;A;Helix;0.06;0;100;1,666666667;8;Aigua
A1.2;A;Helix;0.06;0;200;3,333333333;10;Aigua
A1.2;A;Helix;0.06;0;300;5;12;Aigua
A1.2;A;Helix;0.06;0;400;6,666666667;14;Aigua
A1.2;A;Helix;0.06;0;500;8,333333333;16;Aigua
A1.2;A;Helix;0.06;0;600;10;18;Aigua
A1.2;A;Helix;0.06;0;700;11,66666667;20;Aigua
A1.2;A;Helix;0.06;0;1150;19,16666667;32;Aigua
A1.2;A;Helix;0.06;0;1250;20,83333333;36;Aigua
A2.1;A;Helix;0.06;3;100;1,666666667;8;Aigua
A2.1;A;Helix;0.06;3;200;3,333333333;10;Aigua
A2.2;A;Helix;0.06;3;100;1,666666667;6;Aigua
A2.2;A;Helix;0.06;3;200;3,333333333;8;Aigua
A2.2;A;Helix;0.06;3;300;5;10;Aigua
A2.2;A;Helix;0.06;3;400;6,666666667;12;Aigua
A2.2;A;Helix;0.06;3;500;8,333333333;14;Aigua
A2.2;A;Helix;0.06;3;600;10;16;Aigua
A2.2;A;Helix;0.06;3;700;11,66666667;20;Aigua
A2.2;A;Helix;0.06;3;1150;19,16666667;32;Aigua
A2.2;A;Helix;0.06;3;1250;20,83333333;36;Aigua
A2.2;A;Helix;0.06;3;100;1,666666667;6;Aigua
A2.2;A;Helix;0.06;3;200;3,333333333;8;Aigua
A2.2;A;Helix;0.06;3;300;5;10;Aigua
A2.2;A;Helix;0.06;3;400;6,666666667;12;Aigua
A2.2;A;Helix;0.06;3;500;8,333333333;14;Aigua
A2.2;A;Helix;0.06;3;600;10;16;Aigua
A2.2;A;Helix;0.06;3;700;11,66666667;18;Aigua
A2.2;A;Helix;0.06;3;1150;19,16666667;32;Aigua
A2.2;A;Helix;0.06;3;1250;20,83333333;36;Aigua
B1.1;B;Turbina;0.045;0;100;1,666666667;8;Aigua
